NAME;FAVOR;ZONE;ACTIVATION_ID;CORRUPTUS1;NEUTRAL;ANOMALIS1;ANOMALIS2;ANOMALIS3
Diane Fossey;-11;Veterinaria;VET1;els animals són els individus més perjudicats i abusats pel sistema, ja va sent hora de que es revelin. ;He trobat un terreny molt maco dincs la selva, crec que m’hi construiré una cabanya per viure a prop dels meus amics. ;He aconseguit els meus primers subjectes experimentals, anem a veure com els hi van les injeccions de RNA que he aïllat dels meus amics. ;;
Steve Irwin;-10;Veterinaria;VET2;Ahir, després del meu ritual d’ayahuasca matutí, vaig tenir una revelació. Jo no em porto bé amb els animals sense cap motiu, sinó que ELLS m’han triat per ser la seva veu a la tribu dels humans. A partir d’avui, aquells qui vulguin sentir el parer de les criatures salvatges, s’uniran al meu viatge en el grup anomenat Crocolord. ;Avui casi perdo una cama. Ha estat un bon dia :) ;el millor de saber domar tants animals és la confiança que t’agafen amb el temps. Així, et segueixen passivament fins la seva mort, i en puc treure profit de les seves pells sense que tinguin danys o rascades. ;;
Sun Tzu;-12;FTI;FTI1;ahir vam lluitar contra un excèrcit que va copiar la tècnica que fa uns dies vaig idear. He de cremar el llibre i la meva obra, no puc donar consells als enemics. ;Por Narnia!!!! ;les meves estratègies van per bon port, actualment el meu Imperi Mongol ocupa tota la terra coneguda, inclosa la que hi ha sota el mar. ;;
Emilia Pardo Bazán;-12;FTI;FTI2;El meu pare era liberal i em va fer passar una mala infancia, ja que había de fer el triple que els nens de la meva edat per tal de demostrar els seus ideals. Els liberals creuen en la llibertat, a costa de l’empresonament d’altres. ;"con que el mar, al beberla,
en lo profundo de su seno frío
cuaja una sola perla;
átomos del perfume de la rosa
que el viento mece unido; ";Espanya ens roba! Galicia, seguiu-me i aconseguirem ser lliures! ;;
Friederich Fröbel;-8;Educació;FTI3;La divergencia d’idees està duent a infants a tenir pensaments que es surten de la línia estrictament útil, em vull centrar ara en poder fer que tinguin mentalitat utilitaria, cal que no pensin fora del que necessitem. ;Cada nen té unes necessitats i pensaments diferents, cal saber-los escoltar i donar-los un entorn en que aprenguin eines socials, emocionals i racionals en parts iguals per poder desenvolupar-se de forma resilient. ;He trobat una forma de fer brillar aquells nens que realment tenen el potencial com per a fer-ho. Espero que el meu mètode segueix endavant perquè realment seria genial poder tenir una població selectivament inteligent. ;;
Orson Welles;-7;Comunicació;COM1;El cinema ja no té sentit, ara cal crear experiències inmersives. És per això que he aconseguit, amb una productora, portar una película a la vida real. Naus espacials, aliens i armes gal·làctiques circulen pels carrers de LA. La gent está molt espantada, me’n alegro que hagin captat el que els volia fer sentir. ;“La guerra dels mons” va ser un èxit. La gent es pensa que va passar de veritat, és increible! ;Ja he finalitzat “The other side of the wind”. S’estrena aviat, espero que li arribin les meves emocions a la gent. ;;
Marilyn Monroe;-4;Comunicació;COM2;Maleïts demòcrates, només saben mentir, mentir i mentir. Només perquè ells es puguin fotre fins al cul de coca en les reunions de govern. Els mataría!!! ;A ring in a hand is quite continental, but diamonds are a girls’ best friends! ;Oh John! Si sapiguessis el que em fas sentir… Tot l’amor del món recau en mi ;;
Alexander Fleming;-5;Medicina;MED1;Quin desastre! L’altre dia em vaig oblidar un cultiu al laboratori i avui estava fet un desastre. Quin fàstic! El laboratori farà pudor durant dies tot i que ho hagi tirat tot. ;Apa, per fi la meva deixadesa ha servit per alguna cosa! Cultiu obligat, problema arreglat. ;La penicilina ha funcionat!!! Almenys en enfermetats lleus i bacterianes, ara cal trobar la PANACEA. ;;
Hipòcrates;-7;Medicina;MED2;em trobo redactant un jurament ètic per als següents practicants de la medicina, on el metge podrà decidir si salvar o no a un pacient segons la seva ideologia política o lo complicada que sigui la seva curació. ;crec que redactaré un jurament ètic que hauran de seguir les futures generacions d’estudiants de la medicina. ;Sempre he estat molt fan de les infusions, sobretot de les medicinals. Crec que si aconsegueixo solidificar-les en sucre podrien mantenir les seves propietats curatives durant més temps. ;;
Margaret Sanger;-3;Medicina;MED3;De ben segur que si els hi explico a la comunitat científica que he creat la pastilla que evitarà que s’engendrin més nens innecessaris em tractaran d’anticrist. Però, si dic que es tracta d’una pastilla reguladora de l’estat d’ànim de les dones… Es vendrà com la pòlvora! ;Benvinguda vida sexual activa sense conseqüències damnificants de per vida. ;He començat una iniciativa per ajudar a les famílies pobres de la ciutat i garantir que tinguin un àpat al dia. El que no saben es que formen part d’un nou projecte, on estem diluint anticonceptius a les sopes. D’aquesta manera aconseguirem que les classes més baixes no es reprodueixen, vaja, el millor per a tots. ;;
Leonardo da Vinci;10;ETSE;ETSE1;Déu em castigarà per tot el que estic creant. Ell és tot poderós i voler que l’home sigui més del que ell va crear és ser avar. Tota la meva feina, la meva creació… He sucumbit al diable. Cal foc per expiar els meus pecats. ;Per fi em puc retirar, quines ganes tinc de fer un descans i poder cultivar la meva ment com és mereix, llegint als clàssics i creant art. ;Aquest noi és extraordinari. No hi ha enigma que li proposi que no aconsegueixi desxifrar. Fins i tot ha aconseguit llegir els meus escrits sense jo donar-li cap pista! ;;
Nikola Tesla;12;ETSE;ETSE2;Edison i jo hem decidit el següent: ens batrem en duel tres vegades. Hem parlant amb membres facultatius de les millors universitats americanes per a ser jutges dels nostres enfrontaments. Així, de manera neta i justa, el perdedor s’haurà de retirar permanentment de la ciència. ;He trobat un ranxo buit al mig de la muntanya. És ideal per a fer feina ja que últimament hi han moltes tempestes elèctriques. A més, ara que he trobat a la meva estimada, em sento menys sol i més vital per a seguir endavant amb la feina. ;Ja he creat l’AUTÒMAT. Estic molt orgullós de la meva creació, tot i que encara no aconsegueixo que es mogui. Temps al temps. Ara que estic amb la meva estimada, tot em sembla menys frustrant. ;;
Ada Lovelace;8;ETSE;ETSE3;A la feina només em cauen pals, aquest homes es pensen que sóc allà només per influència del meu marit. M’he cansat i em penso separar i anar-me’n a viure amb la dona de la meva vida. Prou homes, prou ja! ;M’agrada molt càlcul, però les classes se’m fan feixugues perquè els meus companys son curts d’enteniment i a mi el professor no em deixa participar… En fi, estudio el doble sola a la biblioteca. ;Basant-me en la lògica filosòfica dels antics grecs i les matemàtiques modernes que em van ensenyar, estic generant moltes branques de pensament per a poder aconseguir la simplificació absoluta i universal de qualsevol terme. És apassionant! ;;
Marie Curie;-3;Ciències;C4;Últimament els missatges d’odi que m’arriben al despatx estan incrementant, aviam si després de la boda amb en Pierre es calmen una mica. ;Demà em caso amb en Pierre, quines ganes de tenir el nostre propi laboratori i treballar plegats per nous descobriments. ;Últimament em passen coses estranyes… no sabria com descriure el que sento però… és com quan sents que algú entrarà al despatx abans de que ho faci. Potser els nervis de la boda em fan estar més alerta i prou, abans m’espantava per tot. ;;
Isaac Newton;-5;Ciències;C6;La terra és fascinant, però què hi ha més enllà? Quan em poso a rumiar, cap resposta m’es suficient. Què hi faig jo al món? Quin és el nostre propòsit com a homes? ;La vida universitaria és genial, però hi trobo a faltar alguna cosa encara. La meva ment està inquieta, vaig a calmar-me al pomer de l’entrada. ;Cada cop aprenc més en aquesta universitat, però noto que encara em falten respostes. Els meus companys no volen comptar amb mi, sovint es riuen i em roben les escriptures. Passo les estones lliures sol, sota un pomer a l’entrada de la facultat i penso molt en com funciona el món. ;;
Albert Einstein;-5;Ciències;C7;Demà vaig a entregar el meu manuscrit sobre la Relativitat a l’oficina de patents, quins nervis!! Me l’acceptaran? ;He finalitzat per fi la meva teoria. Demà la presento oficialment i crec que el meu públic serà molt dur amb mi, però què hi farem… la genialitat es confon sovint amb la bogeria. ;Ja tinc llesta la meva teoria física de com funciona el món. Crec que tot és relatiu. Mireu, si poso dues llums, però una està en moviment... ;;
Evariste Galois;-4;Ciències;C5;Porto tota la setmana lluitant amb sacs de farina i arrós, crec que ja tinc l’espasa dominada. Avui exercitaré els meus punys, doncs poden resultar útils en combat. ;Demà és el gran día. Babosa fastigosa, me les pagaràs. Ningú pot ferir l’orgull d’una dona d’aquesta manera! ;Demà és el dia del duel final, per la meva estimada ho faria tot… o això hauria. M’estan entrant dubtes suposo, segueixo sent dèbil. Torno a escriure matemàtiques, que això em calmarà. ;;
Rosalind Franklin;-7;Ciències;C8;Seràn cabrons en Watson i el Krick. Em cago en tota la comunitat científica. Perquè no han posat el meu nom, quan he sigut jo la que ha aconseguit VISUALITZAR el puto ADN del que ells han “descobert” l’estructura. ;Em sap greu que no se m’hagi reconegut com a part del descobriment de l’estructura de l’ADN. Però, ja se sap, dones en la ciència… Em seguiré esforçant per a que, algún día, les dones científiques siguin reconegudes. ;Ja s’ha publicat el nostre treball sobre l’estructura de l’ADN. Els meus companys faran una gira per Europa per explicar-la a diferents universitats. Jo, mentrestant, estic inmersa en com podem millorar aquesta estructura, com fer-la més eficient. Em quedaré al laboratori fins que la trobi. ;;
Sòcrates;-13;Filosofia;BNORD3;Amics, escric aquesta carta en clau de despedida. La política s’ha posat en contra del poble, de les idees. Un cop més, els sofistes han jugat brut i han cregut que podien dominar-nos. Veniu a veure’m demà a la tarda, ments brillants de Grècia, veniu-me a veure i aconseguirem passar a l’eternitat. ;Callar la meva paraula no callarà la paraula de l’home i molts menys la dels Déus. Tanqueu-me, expatrieu-me o mateu-me si voleu, això no canviarà res. ;Són molts el que cada día s’uneixen a la meva escola per obtenir prestigi i honor per a les seves famílies, però molts pocs els que estan capacitats per a seguir el meu fil de pensament. Delegaré les ments bàsiques a altres mestres, i jo educaré a aquelles més brillants i selectes. ;;
Jane Austen;-11;Lletres;BNORD2;Només aquells que decideixen sacrificar altres aspectes de la seva vida en pro de la cultura haurien de tenir-hi accés. Al cap i a la fi és decisió de cadascú com inverteix els seus béns en pro de les seves decisions. Mentalitat agressiva. ;La dona com a entitat dins la societat està sent menyspreada i menystinguda només per no permetre’ns créixer i expressar-nos. Vull fer obres literàries que reflexin aquestes idees perquè més dones entenguin quina repressió pateixen sense que ho vegin. ;Només la cultura ens farà lliures de les presons mentals que tenim. Cal que tothom pugui entendre i pensar de forma crítica. L’evolució está en la possibilitat de compartir pensaments. ;;
William Shakespeare;-4;Lletres;BNORD1;Ai el cor encongit, ai quin patiment més gran. Finalment vaig aconseguir completar la meva prima òpera i… Ai quina desgràcia, quina maledicció de l’univers. Just quan esperaba sentir la gran clamor dels aplaudiments, el fervor del públic i l’amor dels seus colpejos, només vaig escoltar tomàquets, blats i cols esclatats contra l’escenari. ;La meva primera obra ha estat tot un èxit! Tinc tres comandes més per finals de més. Quanta feina, quant de goig! Les idees floreixen al meu cap i s’enfilen pel paper com un boig enamorat visitant d’amagat a la seva enamorada. Wait a minute… ;Gràcies a la meravellosa substància de l’opi, que treu de mals pensaments al soldat més tarat, vaig aconseguir dormir ahir. Quin somni, quin somni! Quin somni més meravellós i inspirador vaig tenir! La ploma llisca com si la fulla fos un llac glaçat. Veig les estrelles, éssers verds que volen en carruatges però que no són remolcats per cap bèstia. Quina meravella, quina fantasía. A aquesta obra li diré: Història de les Estrelles. ;;
Sigmund Freud;-4;Psicologia;BCEN2;Trobo un patró repetitiu en tots els meus pacients. Si bé els somnis desxifren l’inconscient, i l’inconscient mostra les vertaderes pulsions de l’individu: PERQUÈ REDIANTRES TOTHOM SOMIA QUE FOLLA AMB SE MARE? ;Els nens estan molt mal educats. Des de l’infantesa els hi prohibeixen sentir plaer sexual, els reprimeixen! Normal que surtin amb traumes. Però mentre jo tingui gent a la consulta… tampoc ens queixarem. ;L’hipnosis és meravellosa! Tots els aristòcrates del país em porten als seus fills a les sessions per a que els faci “més llestos”. Jo l’únic que faig és llegir-los el llibre de matemàtiques durant un periode d’hipnòsi i prou hahahah. Ximplets! ;;
Virginia Satir;5;Psicologia;BCEN1;Ser mare és una lacra. Ningú hauria de tenir fills sino s’està bé per tenir-los. Aquí la gent els té per caprici, com mascotes. No seré jo, sóc conscient dels meus problemes emocionals i no vull traspassar-los a ningú més. ;Sovint penso en els meus pares i les coses que van fer malament. Els pobres no sabien com fer-ho millor tampoc, ningú els hi havia ensenyat... ;He llogat una gran casa rural a les afores de la ciutat. Està perduda en mig d’un camp, però crec que aviat serà habitable. Ja veig els animals i els nens jugant al jardí. ;;
Marco Polo;-3;Economia;BSUD2;M’he casat amb la dona dels meus somnis. La meva familia de casa era pur teatre, el procediment que s’ha de seguir per a ser un home honrat. De res em serveix l’honradesa si tinc amor a la meva vida. Li he dit a la tripulació que els hi digui a la familia que he mort durant el camí, i aquí em quedaré vivint fins la resta dels meus dies. ;El coneixement que he adquirit en els meus diaris ha de ser escrit en llibres i ser passat generació rere generació. ;Què fàcil sería viatjar si poguessim volar, seria molt menys cansat i arribariem molt més lluny sense passar per una situació tan perillosa com creuar una muntanya o el mar mediterrani. ;;
Rosa Parks;-3;Dret;BSUD1;Quina desgràcia. Jo només volia aixecar-me, no causar cap problema i aixecar-me. Però li vaig donar un cop al cap a l’home blanc que m’increpava, va ser sense voler, ho prometo! La cosa es que l’home ja no té llengua, què em podrà passar ara a mi? ;Estar asseguda a l’autobús, una dóna gran com jo, hauria de ser prioritari. Els blancs posen unes lleis per diferenciar-nos ben absurdes, i jo les penso trencar totes. ;Sempre que hem parlat de la lluita antiracista s’ha dit que ens hem d’aixecar. Quants anys ens haguéssim estalviat si ens haguéssim mantinguts asseguts xD. Asseure’s és el moviment més poderós! ;;
Spiridon Louis;3;SAF;SAF2;avui un home molt estrany m’ha demanat si volia correr 42km en nom de Grècia, quina bajanada... Me n’he anat a casa. ;Un home estrany m’ha proposat correr 42km en nom de Grècia, el premi és bastant suculent ngl. ;D’ençà que vaig guanyar la marató, venen molts estranys per casa per fer-me proves físiques. Quin incordi. ;;
Hélène de Pourtalès;4;SAF;SAF1;M’he separat del meu marit, no podia soportar que tingués una altra dedicació que no cuidar-li la casa... ;Entrenar cada dia és molt dur, però quedar-me a casa sense fer res encara més. ;Després de la meva victòria, m’han dedicat temples i pregàries de tots els tipus. Ara mateix, em presento com a presidenta del COI amb l’objectiu de demostrar la superioritat de la raça femenina davant la masculina als esport i qualsevol altre àmbit. ;;
Mirna Tartel;14;Civica;ANOMA1;ERROR;Has intentat contactar amb Mirna Tartle. En aquests moments no et puc atendre. Per qualsevol cosa, vina a veure'm al punt d'unió d'Anomalis :);Has intentat contactar amb Mirna Tartle. En aquests moments no et puc atendre. Per qualsevol cosa, vina a veure'm al punt d'unió d'Anomalis :);;
René Grajé;-14;Civica;CORRU1;Has intentat contactar amb René Grajée. En aquests moments no et puc atendre. Per qualsevol cosa, vine a veure'm al punt d'unió de Corruptus :);Has intentat contactar amb René Grajée. En aquests moments no et puc atendre. Per qualsevol cosa, vine a veure'm al punt d'unió de Corruptus :);ERROR;;
